GEO_CODE,GEO_LABEL,GEO_TYPE
E06000001,Hartlepool,Local Authorities
E06000002,Middlesbrough,Local Authorities
E06000003,Redcar and Cleveland,Local Authorities
E06000004,Stockton-on-Tees,Local Authorities
E06000005,Darlington,Local Authorities
E06000006,Halton,Local Authorities
E06000007,Warrington,Local Authorities
E06000008,Blackburn with Darwen,Local Authorities
E06000009,Blackpool,Local Authorities
E06000010,"Kingston upon Hull, City of",Local Authorities
E06000011,East Riding of Yorkshire,Local Authorities
E06000012,North East Lincolnshire,Local Authorities
E06000013,North Lincolnshire,Local Authorities
E06000014,York,Local Authorities
E06000047,County Durham,Local Authorities
E06000048,Northumberland,Local Authorities
E06000049,Cheshire East,Local Authorities
E06000050,Cheshire West and Chester,Local Authorities
E07000026,Allerdale,Local Authorities
E07000027,Barrow-in-Furness,Local Authorities
E07000028,Carlisle,Local Authorities
E07000029,Copeland,Local Authorities
E07000030,Eden,Local Authorities
E07000031,South Lakeland,Local Authorities
E07000117,Burnley,Local Authorities
E07000118,Chorley,Local Authorities
E07000119,Fylde,Local Authorities
E07000120,Hyndburn,Local Authorities
E07000121,Lancaster,Local Authorities
E07000122,Pendle,Local Authorities
E07000123,Preston,Local Authorities
E07000124,Ribble Valley,Local Authorities
E07000125,Rossendale,Local Authorities
E07000126,South Ribble,Local Authorities
E07000127,West Lancashire,Local Authorities
E07000128,Wyre,Local Authorities
E07000163,Craven,Local Authorities
E07000164,Hambleton,Local Authorities
E07000165,Harrogate,Local Authorities
E07000166,Richmondshire,Local Authorities
E07000167,Ryedale,Local Authorities
E07000168,Scarborough,Local Authorities
E07000169,Selby,Local Authorities
E08000001,Bolton,Local Authorities
E08000002,Bury,Local Authorities
E08000003,Manchester,Local Authorities
E08000004,Oldham,Local Authorities
E08000005,Rochdale,Local Authorities
E08000006,Salford,Local Authorities
E08000007,Stockport,Local Authorities
E08000008,Tameside,Local Authorities
E08000009,Trafford,Local Authorities
E08000010,Wigan,Local Authorities
E08000011,Knowsley,Local Authorities
E08000012,Liverpool,Local Authorities
E08000013,St. Helens,Local Authorities
E08000014,Sefton,Local Authorities
E08000015,Wirral,Local Authorities
E08000016,Barnsley,Local Authorities
E08000017,Doncaster,Local Authorities
E08000018,Rotherham,Local Authorities
E08000019,Sheffield,Local Authorities
E08000020,Gateshead,Local Authorities
E08000021,Newcastle upon Tyne,Local Authorities
E08000022,North Tyneside,Local Authorities
E08000023,South Tyneside,Local Authorities
E08000024,Sunderland,Local Authorities
E08000032,Bradford,Local Authorities
E08000033,Calderdale,Local Authorities
E08000034,Kirklees,Local Authorities
E08000035,Leeds,Local Authorities
E08000036,Wakefield,Local Authorities
